ID	acnu_18S	acnu_28S	taxo
Vil349	KR058234	NA	Nassellaria_Sphaerozoidae_Sphaerozoum
Sat18	KR058232	KR058289	Nassellaria_Sphaerozoidae_Sphaerozoum
Ind30	KR058236	KR058292	Nassellaria_Sphaerozoidae_Sphaerozoum
Pac16	KR058238	KR058294	Nassellaria_Sphaerozoidae_Sphaerozoum
Pac22	KR058240	KR058296	Nassellaria_Sphaerozoidae_Sphaerozoum
Pac21	KR058239	KR058295	Nassellaria_Sphaerozoidae_Sphaerozoum
Pac15	KR058237	KR058293	Nassellaria_Sphaerozoidae_Thalassicolla
Ind47	KR058251	KR058310	Nassellaria_Sphaerozoidae_Rhaphidozoum
Pac8	KR058252	KR058311	Nassellaria_Sphaerozoidae_Rhaphidozoum
Sat28	NA	KR058313	Nassellaria_Sphaerozoidae_Collozoum
Ses46	NA	KR058315	Nassellaria_Sphaerozoidae_Collozoum
Sat5	KR058257	KR058314	Nassellaria_Sphaerozoidae_Collozoum
Sat2	KR058256	KR058312	Nassellaria_Sphaerozoidae_Collozoum
Vil352	NA	KR058316	Nassellaria_Sphaerozoidae_Thalassicolla
Vil353	NA	KR058317	Nassellaria_Sphaerozoidae_Thalassosphaera
Vil358	NA	KR058319	Nassellaria_Sphaerozoidae_Collozoum
Vil357	NA	KR058318	Nassellaria_Sphaerozoidae_Collozoum
Vil334	KR058244	KR058301	Nassellaria_Sphaerozoidae_Collozoum
Pac20	KR058241	KR058297	Nassellaria_Sphaerozoidae_Collozoum
Sat6	KR058243	KR058300	Nassellaria_Sphaerozoidae_Collozoum
Pac37	NA	KR058298	Nassellaria_Sphaerozoidae_Collozoum
Pan17	KR058242	KR058299	Nassellaria_Sphaerozoidae_Collozoum
Sat1	NA	KR058304	Nassellaria_Sphaerozoidae_Collozoum
Vil339	NA	KR058308	Nassellaria_Sphaerozoidae_Collozoum
Vil338	KR058249	KR058307	Nassellaria_Sphaerozoidae_Collozoum_inerme
Pan13	KR058245	KR058302	Nassellaria_Sphaerozoidae_Collozoum
Vil345	KR058250	KR058309	Nassellaria_Sphaerozoidae_Collozoum
Pan14	KR058246	KR058303	Nassellaria_Sphaerozoidae_Collozoum
Vil336	KR058248	KR058306	Nassellaria_Sphaerozoidae_Collozoum
Vil335	KR058247	KR058305	Nassellaria_Sphaerozoidae_Collozoum
