ID	acnu_18S	acnu_28S	taxo
AB430758	AB430758	AB430758	Spumellaria_Sponodscoidea_Dictyocoryne_truncata
AB101541	AB101541	NA	Spumellaria_Sponodscoidea_Dictyocoryne_truncata
AB430757	AB430757	AB430757	Spumellaria_Sponodscoidea_Dictyocoryne_truncata
Mge17-99	MT670491	NA	Spumellaria_Sponodscoidea_Dicytocoryne_sp
AB101540	AB101540	NA	Spumellaria_Sponodscoidea_Dictyocoryne_profunda
AB101542	AB101542	NA	Spumellaria_Sponodscoidea_Spongaster_tetras_tetras
AB246696	AB246696	NA	Spumellaria_Sponodscoidea_Spongodiscus_resurgens
AB179732	AB179732	NA	Spumellaria_Sponodscoidea_Myelastrum_elegans
AB179733	AB179733	NA	Spumellaria_Sponodscoidea_Myelastrum_furcatum
AB179734	AB179734	NA	Spumellaria_Sponodscoidea_Myelastrum_lobum
LC093107	LC093107	NA	Spumellaria_Sponodscoidea_Myelastrum_aurivillii
Vil240	MT670521	MT670465	Spumellaria_Rhizosphaeridae_Haliommilla_capillacea
Mge17-44	MT670487	MT670448	Spumellaria_Rhizosphaeridae_Haliommilla_capillacea
Ses15	MT670503	MT670456	Spumellaria_Rhizosphaeridae_Haliommilla_capillacea
Mge17-81	MT670489	MT670450	Spumellaria_Rhizosphaeridae_Rhizosphaera_trigonacantha
AB246684	AB246684	NA	Spumellaria_Rhizosphaeridae_Rhizosphaera_sp
AB246686	AB246686	NA	Spumellaria_Rhizosphaeridae_Rhizosphaera_sp
JQ706069	JQ706069	NA	Spumellaria_Rhizosphaeridae_Rhizosphaera_trigonacantha
Vil476	MT670542	MT670475	Spumellaria_Rhizosphaeridae_Rhizosphaera_trigonacantha
Ses55	MT670507	MT670459	Spumellaria_Centrocubidae_Octodendron_aff_cubocentron
GU821394	GU821394	NA	Spumellaria_Centrocubidae_Uncultured_rhizarian
GU822672	GU822672	NA	Spumellaria_Centrocubidae_Uncultured_rhizarian
KX532703	KX532703	NA	Spumellaria_Excentroconchidae_uncultured
KJ757677	KJ757677	NA	Spumellaria_Excentroconchidae_uncultured
JX842018	JX842018	NA	Spumellaria_Excentroconchidae_uncultured
Vil451	MT670538	NA	Spumellaria_Excentroconchidae_Plegmosphaera_radians
Vil210	MT670516	NA	Spumellaria_Excentroconchidae_Spongodrymus_nidus
GU821097	GU821097	NA	Spumellaria_Excentroconchidae_uncultured
GU822292	GU822292	NA	Spumellaria_Excentroconchidae_uncultured
GU822590	GU822590	NA	Spumellaria_Excentroconchidae_uncultured
KX532622	KX532622	NA	Spumellaria_3_uncultured
KJ760039	KJ760039	NA	Spumellaria_3_uncultured
Mge17-20	MT670486	NA	Spumellaria_Pyloniidae_Tetrapyle_octacantha
Vil298	MT670530	MT670472	Spumellaria_Pyloniidae_Tetrapyle_octacantha
AB246680	AB246680	NA	Spumellaria_Pyloniidae_Tetrapyle_sp
Ses18	MT670504	MT670457	Spumellaria_Pyloniidae_Tetrapyle_octacantha
Vil432	MT670531	MT670473	Spumellaria_Pyloniidae_Tetrapyle_octacantha
Vil480	MT670543	MT670476	Spumellaria_Pyloniidae_Tetrapyle_octacantha
Vil506	MT670549	MT670482	Spumellaria_Pyloniidae_Tetrapyle_octacantha
Vil231	MT670519	NA	Spumellaria_Pyloniidae_Tetrapyle_octacantha
HQ651783	HQ651783	HQ651783	Spumellaria_Pyloniidae_Un-identifiable_specimen
Vil437	MT670532	NA	Spumellaria_Pyloniidae_Cryptolarnaciinae_gen_et_sp_indet
Ses53	MT670506	MT670458	Spumellaria_Pyloniidae_Pyloniidae_gen_et_sp_indet
Ses13	MT670502	MT670455	Spumellaria_Pyloniidae_Pylodiscus_spinulosus
Toy110	MT670510	NA	Spumellaria_Tholoniidae_Tholomura_pilula
Vil200	MT670514	MT670462	Spumellaria_Tholoniidae_Tholomura_transversara
HQ651803	HQ651803	NA	Spumellaria_Tholoniidae_Sphaeropylolena_circumtexta
AB246688	AB246688	NA	Spumellaria_Pyloniidae_Sphaerolarnacillium_tanzhiyuani
AB617585	AB617585	NA	Spumellaria_Pyloniidae_Un-identifiable_specimen
Osh16	MT670494	NA	Spumellaria_Pyloniidae_Larcopyle_aff_buetschlii
LC049343	LC049343	NA	Spumellaria_Pyloniidae_Larcopyle_butschlii
LC049344	LC049344	NA	Spumellaria_Pyloniidae_Larcopyle_butschlii
Vil438	MT670533	NA	Spumellaria_Actinommidae_Actinomma_trinacrium
HQ651788	HQ651788	NA	Spumellaria_Actinommidae_Actinomma_boreale
HQ651789	HQ651789	NA	Spumellaria_Actinommidae_Actinomma_boreale
HQ651781	HQ651781	HQ651781	Spumellaria_Actinommidae_Actinomma_boreale
HQ651780	HQ651780	HQ651780	Spumellaria_Actinommidae_Actinomma_boreale
KX533313	KX533313	NA	Spumellaria_4_uncultured
KJ757620	KJ757620	NA	Spumellaria_4_uncultured
KJ760144	KJ760144	NA	Spumellaria_4_uncultured
KJ759906	KJ759906	NA	Spumellaria_4_uncultured
Vil441	MT670534	NA	Spumellaria_Stylodictyidae_Flustrella_arachnia
AB860148	AB860148	AB860148	Spumellaria_Stylodictyidae_Perichlamydium_venustum
Vil503	MT670548	MT670481	Spumellaria_Stylodictyidae_Flustrella_sp
Osh90	MT670501	MT670454	Spumellaria_Stylodictyidae_Stylodictya_stellata
AB246698	AB246698	NA	Spumellaria_Stylodictyidae_Stylodictya_subtilis
AB860147	AB860147	AB860147	Spumellaria_Stylodictyidae_Stylodictya_stellata
Vil453	MT670539	MT670474	Spumellaria_Stylodictyidae_Stylodictya_arachnea
Vil501	MT670547	MT670480	Spumellaria_Stylodictyidae_Flustrella_arachnea
AB617587	AB617587	NA	Spumellaria_Lithelioidea_Spongurus?_pylomaticus
Mge17-118	MT670483	MT670446	Spumellaria_Lithelioidea_Trilobatum_aff_acuferum
AB860151	AB860151	AB860151	Spumellaria_Spongopylidae_Spongopyle_osculosa
AB246689	AB246689	NA	Spumellaria_Spongopylidae_Un-identifiable_specimen
AB860150	AB860150	AB860150	Spumellaria_Spongopylidae_Spongopyle_osculosa
AB860156	AB860156	AB860156	Spumellaria_Spongopylidae_Spongotrochus_glacialis
AB860154	AB860154	AB860154	Spumellaria_Spongopylidae_Schizodiscus_spp
AB860155	AB860155	AB860155	Spumellaria_Spongopylidae_Schizodiscus_spp
AB860149	AB860149	AB860149	Spumellaria_Spongopylidae_Spongopyle_osculosa
Vil249	MT670525	MT670468	Spumellaria_Cristallosphaeridae_Calcaromma_morum
Vil296	MT670528	MT670470	Spumellaria_Cristallosphaeridae_Calcaromma_morum
Vil297	MT670529	MT670471	Spumellaria_Cristallosphaeridae_Calcaromma_morum
Osh153	MT670493	NA	Spumellaria_Cristallosphaeridae_Calcaromma_morum
AB617590	AB617590	NA	Spumellaria_Spongopylidae_Schizodiscus_asymmetricus
AB617588	AB617588	NA	Spumellaria_Spongopylidae_Schizodiscus_stylotrochoides
AB617589	AB617589	NA	Spumellaria_Spongopylidae_Spongotrochus_beringianus
AB617584	AB617584	NA	Spumellaria_Lithelioidea_Lithelius_cf_alveolina
AB860152	AB860152	AB860152	Spumellaria_Spongopylidae_Schizodiscus_spp
AB860153	AB860153	AB860153	Spumellaria_Spongopylidae_Schizodiscus_spp
Vil278	MK396939	MK396988	Nassellaria_Eucyrtidiidae_Eucyrtidium_campanulatum
AB246681	AB246681	NA	Nassellaria_Eucyrtidiidae_Eucyrtidium_hexastichum
GU072396	GU072396	NA	Nassellaria_Eucyrtidiidae_Uncultured
Vil184	MK396932	NA	Nassellaria_Eucyrtidiidae_Eucyrtidium_galea
HQ651779	HQ651779	HQ651779	Nassellaria_Eucyrtidiidae_Eucyrtidium_cf_calvertense
Ses35	MK396924	NA	Nassellaria_Eucyrtidiidae_Eucyrtidium_hexagonatum
Ses9	MK396929	NA	Nassellaria_Eucyrtidiidae_Eucyrtidium_acuminatum
Vil202	NA	MK396980	Nassellaria_Eucyrtidiidae_Eucyrtidium_acuminatum
Vil199	NA	MK396979	Nassellaria_Eucyrtidiidae_Eucyrtidium_cienkowskii
Vil325	NA	MK396994	Nassellaria_Eucyrtidiidae_Eucyrtidium_cienkowskii
Vil303	NA	MK396991	Nassellaria_Eucyrtidiidae_Eucyrtidium_hexagonatum
Vil496	MK396948	MK397002	Nassellaria_Eucyrtidiidae_Eucyritidium_acuminatum
Mge17-25	MK396915	NA	Nassellaria_Eucyrtidiidae_Eucyrtidium_acuminatum
AB179735	AB179735	NA	Nassellaria_Eucyrtidiidae_Eucyrtidium_hexagonatum
AB246690	AB246690	NA	Nassellaria_Eucyrtidiidae_Eucyrtidium_tropezianum
AB246687	AB246687	NA	Nassellaria_Eucyrtidiidae_Eucyrtidium_cienkowskii
Mge17-122	MK396913	NA	Nassellaria_Carpocanidae_Carpocanium_obliqua
Mge17-124	MK396914	NA	Nassellaria_Carpocanidae_Carpocanium_obliqua
Mge17-137	NA	MK396952	Nassellaria_Lophophaenidae_Lipmanella_sp
Mge17-134	NA	MK396951	Nassellaria_Lophophaenidae_Lipmanella_dictyoceras
Vil502	MK396949	MK397003	Nassellaria_Lophophaenidae_Lipmanella_dictyoceras
Osh27	NA	MK396966	Nassellaria_Lophophaenidae_Helotholus_castanoides
Osh50	MK396922	MK396967	Nassellaria_Lophophaenidae_Pseudodictyophimus_clevei
HQ651793	HQ651793	NA	Nassellaria_Sethoperidae_Archiscenium_tricolpium
Vil269	MK396938	NA	Nassellaria_Cannobotryidae_Acrobotrissa_cribosa
DQ314838	DQ314838	NA	Nassellaria_Cannobotryidae_Uncultured_eukaryote_clone
Vil235	NA	MK396983	Nassellaria_Lophophaenidae
AB246692	AB246692	NA	Nassellaria_Sethophormidae_Protoscenium_cf_intricatum
AB246694	AB246694	NA	Nassellaria_Lophophaenidae_Peromelissa_tricuspidata
Ses60	MK396927	NA	Nassellaria_Lophophaenidae_Peromelissa_phalacra
HQ870444	HQ870444	NA	Nassellaria_Lophophaenidae_Uncultured
HQ651802	HQ651802	NA	Nassellaria_Lophophaenidae_Lithomelisssa_setosa_setosa
HQ651801	HQ651801	NA	Nassellaria_Lophophaenidae_Lithomelisssa_setosa_setosa
AF382824	AF382824	NA	Nassellaria_Lophophaenidae_Uncultured_Polycystinea
Ses31	MK396923	MK396970	Nassellaria_Lophophaenidae_Dictyocryphalus_variabilis
Vil182	NA	MK396978	Nassellaria_Lophophaenidae_Archiperidium_hexacanthum
Vil319	NA	MK396993	Nassellaria_Lophophaenidae_Pseudocubus_obeliscus
Vil512	NA	MK397005	Nassellaria_Lophophaenidae_Pseudocubus_obeliscus
Osh112	NA	MK396958	Nassellaria_Archipilioidea_Nothotripodiscinus_johannismonicae
Osh130	MK396920	MK396961	Nassellaria_Archipilioidea_Enneaphormis_enneastra
Mge17-94	MK396917	MK396957	Nassellaria_Theopiliidae_Eucecryphalus_aff_cervus
AB246685	AB246685	NA	Nassellaria_Theopiliidae_Tricolocamptra_aff_urnula
Ses59	MK396926	MK396972	Nassellaria_Theopiliidae_Eucecryphalus_aff_cervus
Osh129	MK396919	MK396960	Nassellaria_Cycladophoridae_Cycladophora_cornuta
Mge17-6	NA	MK396955	Nassellaria_Cycladophoridae_Valkyria?_aurita
Osh99	NA	MK396969	Nassellaria_Cycladophoridae_Cycladophora_cf_eucalyptra
Osh183	NA	MK396964	Nassellaria_Cycladophoridae_Cycladophora_davisiana
Osh182	NA	MK396963	Nassellaria_Cycladophoridae_Cycladophora_davisiana
Osh162	MK396921	MK396962	Nassellaria_Bekomidae_Lamprotripus_hirundo
Osh184	NA	MK396965	Nassellaria_Bekomidae_Lamprotripus_mawsoni
AB246682	AB246682	NA	Nassellaria_Lychnocanoidea_Pterocanium_campanella
Vil236	MK396935	MK396984	Nassellaria_Lychnocanoidea_Pterocanium_charybdeum
Vil178	NA	MK396976	Nassellaria_Lychnocanoidea_Pterocanium_charybdeum
Vil225	MK396934	MK396982	Nassellaria_Lychnocanoidea_Pterocanium_praetextum
Vil281	NA	MK396989	Nassellaria_Lychnocanoidea_Pterocanium_campanella
Ses62	MK396928	MK396973	Nassellaria_Pterocorythidae_Anthocyrtidium_archilis
JX842410	JX842410	NA	Nassellaria_Pterocorythidae_Uncultured
JX842092	JX842092	NA	Nassellaria_Pterocorythidae_Uncultured
Vil444	NA	MK396997	Nassellaria_Pterocorythidae_Theocorythium_dianae
Mge17-4	NA	MK396954	Nassellaria_Pterocorythidae_Theocorythium_trachelium
Osh93	NA	MK396968	Nassellaria_Pterocorythidae_Pterocorys_sp
Toy233	NA	MK396975	Nassellaria_Pterocorythidae_Tetracorethra_tetracorethra
Vil301	MK396940	MK396990	Nassellaria_Pterocorythidae_Pterocorys_sp
Vil505	MK396950	MK397004	Nassellaria_Pterocorythidae_Pterocorys_sp
